,Titel van het Recept,Ingredienten,Website URLS
68,Courgette spaghetti met groenteballetjes,"['1  bakje groenteballetjes', '2  courgettes of 1 bakje courgette spaghetti', '1  blik tomatenblokjes a 400 ml', '1  klein blikje tomatenpuree', 'verse basilicum', 'Handje pijnboompitten (geroosterd)', '125 gr champignons', '1  ui', '1  teen knoflook']",https://www.leukerecepten.nl/recepten/courgette-spaghetti-met-groenteballetjes/
69,Pita met vegetarische shoarma,"['1  bakje tofu a 375 gr', '1 eetlepel shoarma kruiden', '3 eetlepels bloem', '5  grote pita broodjes', '½   komkommer', '200 gr fijngesneden witte kool', '2  tomaten']",https://www.leukerecepten.nl/recepten/pita-met-vegetarische-shoarma/
70,Vegetarische stroganoff ovenschotel,"['275 gr penne pasta', '1  ui', '1  teen knoflook', '400 gr champignons (in schijfjes)', ""2  paprika's"", '1  blikje tomatenpuree', '2 theelepels gerookt paprikapoeder', '100 ml water', '150 ml creme fraiche', 'peper en zout', '1 theelepel maïzena', '50 gr geraspte kaas']",https://www.leukerecepten.nl/recepten/vegetarische-stroganoff-ovenschotel/
71,Pizza krans met salami,"['5  plakjes Koopmans pizzadeeg (kant-en-klaar)', '2 eetlepels pizzasaus', '3  plakjes salami', '½ bol mozzarella', '¼ paprika', '75 gr champignons', '1 eetlepel geraspte kaas']",https://www.leukerecepten.nl/recepten/pizza-krans-met-salami/
72,Ovenschotel met romige spruitjes,"['600 gr spruitjes', '250 gr spekjes', '800 gr aardappels (kruimig in stukken)', '200 ml melk', '1  zoete puntpaprika', 'Klont boter', 'handje geraspte kaas', '200 gr roomkaas met kruiden', 'peper en zout']",https://www.leukerecepten.nl/recepten/ovenschotel-met-romige-spruitjes/
73,Zalm teriyaki,"['4  zalmfilets à 150 gr', '75 ml sojasaus', '1 eetlepel donkere basterdsuiker', 'Snuf knoflookpoeder', 'snuf gemberpoeder', '50 ml water', '1 eetlepel honing', 'Scheutje sesamolie', '1 theelepel maïzena (optioneel)']",https://www.leukerecepten.nl/recepten/zalm-teriyaki/
74,Pasta met bloemkool en spekjes,"['300 gr pasta', '250 gr spekjes', '750 gr bloemkool', '250 ml creme fraiche', '1 theelepel tijm', '150 gr erwtjes', 'Parmezaanse kaas', 'Scheutje olijfolie', 'Snuf zwarte peper']",https://www.leukerecepten.nl/recepten/pasta-met-bloemkool-en-spekjes/
75,Poké bowl met zalm,"['250 gr verse zalmfilet', '1  avocado', '150 gr rijst (sushi)', '2 eetlepels rijstazijn', '½   komkommer', 'sesamzaadjes', '175 gr mango', '30 gr Alfalfa']",https://www.leukerecepten.nl/recepten/poke-bowl-met-zalm/
76,Boerenkool risotto,"['150 gr boerenkool', '150 gr risottorijst', 'Klont boter', '50 gr parmezaanse kaas', '1  groentebouillonblokje', '½   ui', '1  knoflook', 'Scheutje witte droge wijn', '2 eetlepels pijnboompitten (geroosterd)', 'Optioneel: paar plakjes salami']",https://www.leukerecepten.nl/recepten/boerenkool-risotto/
77,Burrito’s van kool,"['1  groene of Chinese kool (12 bladeren)', '300 gr rundergehakt', '1  uitje', '1 teentje knoflook', '400 ml tomatenblokjes', '1 eetlepel tomatenpuree', '1 eetlepel taco kruiden', '1  klein blikje mais', '2  handjes geraspte kaas', '100 gr kidneybonen uit zak']",https://www.leukerecepten.nl/recepten/burritos-van-kool/
